data index,z score
850,3.230195259625901
851,3.48272511787076
852,3.7610597241669663
853,4.020535037580098
854,4.2164746426239335
855,4.304017933368196
856,4.305196371454721
857,4.28081184119424
858,4.2437729038883285
859,4.20698145761836
860,4.183258489934724
861,4.063179646850094
862,3.795228717344552
863,3.4791198397991066
864,3.2146928018899374
865,3.101787391293224
866,3.1139249228289763
867,3.1306419904182543
868,3.1391985170416468
869,3.1491086292539228
2718,3.050238625683196
2719,3.1280780784747555
2720,3.1668975234065497
2721,3.1779432387183584
2722,3.1889803870327693
2723,3.1991681651495987
2724,3.207788753875757
2725,3.213894167354725
2726,3.0972671578994637
2729,3.013908083873239
4052,3.038346491028465
4053,3.1302840803047385
4054,3.1955356630639913
4055,3.2268562247956036
4056,3.235577237769038
4057,3.239924513004218
4058,3.2415393920137396
4059,3.2427217328435223
4060,3.2453093468131553
4061,3.248908437608911
4062,3.2514566433905134
4063,3.2526655419122297
4064,3.252424238152186
4065,3.250162074894817
4066,3.222990414814191
4067,3.1632184739684126
4068,3.0923751168186318
4069,3.032246217747937
4070,3.0043238031286665
4071,3.001821954321874
4072,3.0027671797014523
4073,3.005203062628281
4074,3.0078969073656485
4075,3.009325311398474
4076,3.001170196197607
4079,3.009518925539668
4620,3.485897286629517
4621,3.5190420476737416
4622,3.5480657022140925
4623,3.571146525848318
4624,3.5866156674832896
4625,3.59300474376499
4626,3.5922327621105716
4627,3.588457571923857
4628,3.58341636989944
4629,3.579173421654795
4630,3.577432227028084
4631,3.581942846346985
4632,3.5931132590653645
4633,3.607248233638889
4634,3.620603801826916
4635,3.629441421153823
4636,3.641913731910117
4637,3.6638985510105604
4638,3.687999894412606
4639,3.7068674687264997
4640,3.7130169546476366
4641,3.6996092229643427
4642,3.6718944152486843
4643,3.6398652676433976
4644,3.61385329344388
4645,3.6039538423839224
4646,3.6471767239782826
4647,3.7006790505616314
4648,3.7221979201924835
4649,3.736896032061635
